,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
87,hearst,82,CA,1608481795,91,49.68,-83.67,32.0,12.75
88,guarapari,40,BR,1608481795,70,-20.67,-40.5,89.01,17.22
89,san patricio,40,US,1608481795,100,28.02,-97.52,57.0,5.82
90,maldonado,75,UY,1608481795,59,-34.67,-54.92,66.2,20.8
91,sept-iles,59,CA,1608481795,73,50.2,-66.38,26.6,3.36
92,bereda,87,ES,1608481795,97,43.27,-7.54,52.0,8.99
93,krapina,90,HR,1608481795,100,46.16,15.88,37.99,2.24
94,bubaque,3,GW,1608481796,51,11.28,-15.83,81.41,10.29
95,tazovskiy,8,RU,1608481796,84,67.47,78.7,-31.36,8.68
96,miastko,100,PL,1608481796,97,54.0,16.98,34.0,24.0
97,chapais,90,CA,1608481796,92,49.78,-74.85,24.8,14.99
98,cape town,20,ZA,1608481633,57,-33.93,18.42,77.0,16.11
99,mogok,4,MM,1608481796,79,22.92,96.5,52.48,2.01
100,pisco,0,PE,1608481796,83,-13.7,-76.22,71.01,9.17
101,elizabeth city,90,US,1608481648,100,36.29,-76.25,42.8,8.05
102,souillac,40,MU,1608481797,78,-20.52,57.52,78.8,9.17
103,flinders,99,AU,1608481797,90,-34.58,150.86,68.0,1.01
104,berlevag,90,NO,1608481797,92,70.86,29.09,30.2,19.46
105,bathurst,97,AU,1608481555,79,-33.42,149.58,54.0,3.09
106,la ronge,100,CA,1608481797,83,55.1,-105.28,-4.0,6.93
107,san lawrenz,20,MT,1608481798,93,36.06,14.2,60.01,3.36
108,cocachacra,41,PE,1608481798,60,-17.09,-71.76,74.64,9.82
109,calvinia,27,ZA,1608481798,14,-31.47,19.78,92.75,21.61
110,gorontalo,98,ID,1608481798,81,0.54,123.06,78.53,2.01
111,pindiga,0,NG,1608481798,19,9.98,10.93,89.6,11.41
112,airai,100,TL,1608481799,100,-8.93,125.41,61.99,2.64
113,saint-gaudens,75,FR,1608481799,76,43.08,0.67,51.8,2.24
114,seoul,1,KR,1608481659,79,37.57,126.98,19.4,0.83
115,jiblah,74,YE,1608481799,88,13.92,44.15,59.97,1.45
116,tasiilaq,100,GL,1608481799,38,65.61,-37.64,24.8,3.36
117,ulladulla,75,AU,1608481799,100,-35.35,150.47,64.99,4.7
118,meulaboh,100,ID,1608481799,85,4.14,96.13,78.13,1.9
119,dharchula,50,IN,1608481800,36,29.85,80.53,49.89,6.69
120,yellowknife,90,CA,1608481800,75,62.46,-114.35,-18.99,6.93
121,avarua,100,CK,1608481800,94,-21.21,-159.78,69.8,2.24
122,mikhaylovka,95,RU,1608481800,88,50.06,43.24,19.0,8.99
123,kharan,71,PK,1608481800,37,28.58,65.42,57.16,2.33
124,norman wells,75,CA,1608481801,66,65.28,-126.83,-29.2,3.36
125,sinnamary,84,GF,1608481801,75,5.38,-52.95,82.92,7.76
126,dicabisagan,100,PH,1608481801,89,17.08,122.42,74.88,15.61
127,ancud,90,CL,1608481801,67,-41.87,-73.82,57.2,3.36
128,vanavara,0,RU,1608481801,86,60.34,102.28,-20.34,3.71
129,katsuura,75,JP,1608481801,38,35.13,140.3,39.2,14.99
130,faya,0,SA,1608481802,82,18.39,42.45,60.8,5.82
131,thompson,75,CA,1608481803,75,55.74,-97.86,-13.0,5.82
132,foam lake,100,CA,1608481803,79,51.65,-103.53,24.8,9.17
133,hasaki,40,JP,1608481803,73,35.73,140.83,30.0,1.12
134,maihar,94,IN,1608481803,36,24.27,80.75,56.39,2.95
135,dukat,98,RU,1608481804,84,62.55,155.55,-28.57,4.09
136,leningradskiy,100,RU,1608481805,90,69.38,178.42,-1.32,8.75
137,san juan,0,AR,1608481801,22,-31.54,-68.54,79.48,8.16
138,acarau,14,BR,1608481805,53,-2.89,-40.12,88.3,20.67
139,honiara,20,SB,1608481805,94,-9.43,159.95,75.2,4.7
140,bayanday,91,RU,1608481806,90,53.07,105.51,10.72,3.0
141,beinamar,0,TD,1608481806,14,8.67,15.38,83.14,4.85
142,lorengau,80,PG,1608481806,74,-2.02,147.27,82.13,5.08
143,alofi,96,NU,1608481806,94,-19.06,-169.92,77.0,4.7
144,harstad,100,NO,1608481806,98,68.8,16.53,42.01,15.99
145,nouadhibou,0,MR,1608481807,31,20.93,-17.03,78.8,13.87
146,haines junction,50,CA,1608481807,90,60.75,-137.51,15.51,3.09
147,coahuayana,40,MX,1608481807,47,18.73,-103.68,77.0,1.43
148,paamiut,100,GL,1608481807,91,61.99,-49.67,27.48,28.79
149,cherskiy,0,RU,1608481807,85,68.75,161.3,-29.11,1.12
150,tahta,0,EG,1608481807,35,26.77,31.5,73.4,8.05
151,pokhara,6,NP,1608481808,54,28.23,83.98,50.02,3.11
152,carlisle,100,US,1608481679,81,40.2,-77.19,32.0,4.41
153,kodiak,1,US,1608481808,85,57.79,-152.41,15.8,6.93
154,roald,0,NO,1608481808,66,62.58,6.13,48.2,14.99
155,channarayapatna,67,IN,1608481808,85,12.9,76.39,63.57,6.38
156,elbistan,0,TR,1608481810,83,38.21,37.2,34.25,0.31
157,lam luk ka,0,TH,1608481763,64,13.93,100.75,75.0,5.82
158,geraldton,0,AU,1608481811,73,-28.77,114.6,69.8,14.99
159,marabba,0,SD,1608481812,23,12.35,32.18,82.31,9.98
160,atar,6,MR,1608481812,17,20.52,-13.05,79.12,16.15
161,green valley,1,US,1608481666,39,31.85,-110.99,44.6,10.29
162,muskogee,1,US,1608481812,75,35.58,-95.33,43.0,9.17
163,houston,20,US,1608481769,87,29.76,-95.36,55.0,7.23
164,turka,1,UA,1608481813,88,49.15,23.03,34.0,3.22
165,martapura,20,ID,1608481813,94,-3.42,114.85,78.8,2.24
166,silvi,90,IT,1608481813,93,42.55,14.12,50.0,2.24
167,vavatenina,35,MG,1608481794,86,-17.47,49.2,75.33,1.72
168,xique-xique,87,BR,1608481814,52,-10.82,-42.73,86.95,6.69
169,japura,96,ID,1608481814,94,-0.32,102.35,73.99,3.33
170,qaanaaq,64,GL,1608481814,75,77.48,-69.36,-1.61,5.7
